country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Australia,42.8841,41.6217,40.7368,38.2512,37.5,36.7004,36.3478,34.1311,35.0787,43.2851,46.8722,50.6587,62.6726
Austria,70.5365,71.6117,73.3748,72.0105,71.2602,75.8449,72.3736,68.7239,74.0366,79.8738,85.2875,86.9076,91.7747
Belgium,120.643,119.1636,118.3053,114.7112,110.3345,107.9118,99.6194,93.5368,100.664,109.0283,107.3827,110.2018,120.2823
Canada,102.6167,102.5732,101.2819,96.2787,91.7359,90.53,89.1241,84.2724,88.457,102.0784,103.8032,106.7753,109.4422
Chile,,,,,,17.3898,14.0999,12.1781,12.4306,13.4441,15.5684,18.3339,18.8059
Czech Republic,24.0109,27.9599,30.1434,32.5652,32.223,31.8703,31.5795,30.2512,34.2025,41.0136,45.791,48.9437,58.518
Denmark,60.4558,58.2771,58.1475,56.0692,52.363,45.1037,40.4818,34.5855,42.0314,49.4953,53.806,60.5522,60.1782
Estonia,,,,,,,,,8.4023,12.6282,11.9348,9.5112,13.2031
Finland,50.9522,48.3539,48.1829,49.1426,49.3523,46.4891,43.0394,39.0559,38.242,49.1899,55.0241,57.4829,63.4101
France,71.9048,70.989,74.6431,78.5126,80.0193,81.6655,76.8595,75.5645,81.5109,93.1565,96.8256,100.6963,110.6421
Germany,59.3955,58.543,60.9694,64.4336,67.3675,69.8742,68.0264,63.9796,67.8369,75.2882,83.807,83.2592,86.1639
Greece,110.8388,113.0459,111.7844,105.9097,107.5896,111.3681,117.8455,112.8329,117.2258,134.6374,128.3011,110.1852,164.2397
Hungary,61.0289,59.057,60.0971,60.8971,64.3814,67.5079,71.0386,71.7197,75.2679,84.3787,86.3446,95.341,98.1609
Iceland,,,,65.9433,59.4628,49.5346,54.7136,49.494,95.3452,109.6412,114.4001,121.8744,119.8777
Ireland,38.926,35.771,34.2568,33.0814,31.6221,31.4999,27.7662,27.4767,47.6384,68.2573,85.1652,110.993,131.256
Israel,,91.9654,95.8422,101.2149,98.9845,96.7995,86.6506,82.6527,82.1199,84.6834,80.7541,79.5717,79.7876
Italy,118.9452,118.0919,116.9082,114.2359,114.6423,117.3781,114.9604,110.6284,112.9256,125.8888,124.7773,117.762,136.0109
Japan,144.5019,151.3678,161.7529,172.2588,178.7583,180.1949,180.015,180.0182,184.1986,207.3291,210.6288,226.4618,234.7797
Korea,,,18.1348,18.6799,22.0316,24.0198,26.8608,26.8259,27.7748,30.8284,31.7035,33.1438,34.7307
Luxembourg,,,,,,,,,19.2905,19.0172,26.3581,26.0212,29.5844
Mexico,30.5313,30.6521,32.5717,32.1467,30.5506,30.4865,28.4046,27.9043,29.8437,37.1384,,,
Netherlands,60.0605,56.2218,57.0563,58.114,58.3927,57.5754,51.4814,48.5191,61.298,63.681,67.6111,71.6014,77.8755
Norway,32.2112,31.3066,38.6723,48.0057,49.8839,46.9144,57.813,55.5602,54.226,48.0651,48.4194,33.8103,34.376
Poland,,,,54.8852,53.7429,54.4243,54.5625,50.9351,53.9855,57.1608,61.0047,61.6614,61.1907
Portugal,62.0183,63.4591,66.812,70.6191,76.6516,79.9765,79.4087,78.1007,82.7615,96.1121,104.0708,107.4613,136.3065
Slovak Republic,57.8588,56.5165,49.1546,47.2773,44.8706,37.1976,35.2323,33.8165,32.8371,41.3692,46.1791,49.0977,57.6159
Slovenia,,32.9507,34.0354,33.4586,34.2721,33.3737,33.2685,29.1188,28.3469,42.4955,46.8476,50.3927,60.5622
Spain,65.1653,60.5686,59.2528,54.419,52.5133,49.9807,45.6857,41.7296,47.1371,61.7386,66.4989,77.1757,90.9574
Sweden,62.7314,64.0254,64.2245,63.041,62.4607,63.5676,57.2854,51.8248,50.6014,54.4563,51.843,52.7646,53.5084
Switzerland,52.679,52.551,60.0011,58.4173,59.486,56.9344,50.6599,50.4568,48.5933,46.4046,44.7394,44.9503,45.6834
Turkey,,,,,,,,,,54.2992,52.5089,47.7824,46.3856
United Kingdom,49.4852,45.3907,47.9067,47.0763,48.4616,50.0263,49.6135,50.1165,62.0129,75.7465,87.1378,100.9303,105.0083
United States,61.5399,63.9259,70.5297,71.3762,79.1438,78.1542,75.5798,75.7233,91.7955,104.8609,115.294,120.9114,123.6544