country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Austria,51.9428,51.295,50.6739,51.321,53.7575,49.9852,49.1414,48.6025,49.3357,52.6134,52.809,50.7934
Belgium,49.0778,49.1146,49.7744,51.0411,49.1709,51.8724,48.4755,48.2408,49.7968,53.7387,52.5737,53.4644
Canada,41.1081,41.9859,41.2289,41.1824,39.9049,39.25,39.2084,,,,,
Czech Republic,41.6468,43.9001,45.5981,49.9979,43.2791,43.007,41.9672,41.0398,41.1476,44.681,43.8361,43.2401
Denmark,53.6707,54.1896,54.5651,55.0667,54.5521,52.7884,51.5853,50.8055,51.5222,58.0912,57.7346,57.7198
Estonia,36.1227,34.8034,35.7676,34.8163,33.9836,33.6003,33.603,33.9789,39.6722,44.8005,40.55,37.6705
Finland,48.34,47.951,48.9864,50.2979,50.2246,50.3478,49.1949,47.3886,49.212,56.1218,55.7883,55.2573
France,51.6892,51.6631,52.8739,53.4011,53.2607,53.5696,52.9758,52.6088,53.281,56.772,56.57,55.8973
Germany,45.0969,47.6131,47.9472,48.4619,47.0738,46.9093,45.3472,43.5149,44.0804,48.2158,47.7343,45.0033
Greece,47.1648,45.7835,45.5009,45.1484,45.9372,44.5984,45.2527,47.5036,50.5974,53.9503,51.4523,51.7921
Hungary,47.7624,47.8355,51.5143,49.6598,49.0568,50.104,52.1884,50.6929,49.2421,51.4282,49.9865,50.0619
Iceland,41.8662,42.5966,44.254,45.6073,43.993,42.2471,41.6409,42.2683,57.6707,50.9587,51.5569,47.3881
Ireland,31.2468,33.1937,33.512,33.2174,33.6151,33.8726,34.4013,36.6663,42.7234,48.372,65.4198,47.0704
Israel,51.5806,53.8948,55.3254,53.9924,50.8323,49.3805,47.792,46.4874,45.953,45.7687,45.1265,44.6235
Italy,45.8634,47.7104,47.117,48.0772,47.527,47.9157,48.4501,47.6303,48.6011,51.8763,50.3968,49.8691
Japan,,,,,,36.4437,35.9537,35.895,37.6213,41.8595,40.6066,42.3063
Korea,22.4331,23.9213,23.5846,28.9018,26.084,26.5894,27.7287,28.6532,30.4494,33.0809,30.0873,30.2169
Luxembourg,37.5942,38.1325,41.5468,41.8002,42.5718,41.5374,38.5824,36.2605,39.1309,45.2103,43.5031,42.8524
Netherlands,44.1698,45.3538,46.2067,47.0958,46.0933,44.7919,45.5425,45.2702,46.222,51.4243,51.3324,50.0675
Norway,42.3002,44.1098,47.0558,48.159,45.1264,41.7991,40.0379,40.3378,39.7711,46.2167,45.1668,43.9064
Poland,,,44.2577,44.6771,42.6237,43.4401,43.8645,42.1868,43.2301,44.614,45.4237,43.436
Portugal,41.6152,43.1555,43.059,44.6813,45.4232,46.5618,45.2181,44.3616,44.804,49.7494,51.4794,49.3336
Russia,,,,,,34.1539,32.3963,35.2589,34.3642,,,
Slovak Republic,52.1389,44.4629,45.0596,40.1328,37.6741,37.9813,36.5218,34.2102,34.9173,41.5307,39.9546,38.2478
Slovenia,46.5146,47.3112,46.2027,46.2354,45.727,45.3007,44.5764,42.4377,44.3316,49.2813,50.4271,50.7594
Spain,39.1947,38.6592,38.9082,38.4102,38.8878,38.4364,38.3501,39.2118,41.4555,46.3045,46.4286,45.8854
Sweden,55.0897,54.5245,55.5962,55.6716,54.1775,53.8527,52.7131,50.9532,51.7392,54.9413,52.3322,51.4864
Switzerland,,,,,,35.2094,33.2403,32.0712,32.0848,34.1403,33.8695,33.9003
Turkey,,,,,,,32.986,34.7045,36.3366,43.111,40.2419,37.3735
United Kingdom,36.3578,39.772,40.8691,41.7686,42.5859,43.3159,43.4861,43.2188,46.9703,50.7371,49.7166,47.9164